id,display_name,category,fps_avg,fps_1pct_low,frame_p99_ms,tick_avg_ms,gc_count,heap_delta_mb
particle_cycle,Particle cycle (7 types → all together),Particles,107.900,46.056,21.251,0.596,3,288
entity_cows,Cows ×200 ring,Entities,99.653,39.267,21.431,0.669,1,392
entity_sheep,Sheep ×200 ring,Entities,95.093,22.333,41.476,0.621,1,376
entity_zombies,Zombies ×150 ring (AI on),Entities,29.475,20.323,47.682,0.705,3,660
entity_pigs,Pigs ×250 ring,Entities,29.302,20.813,47.335,0.640,0,520
entity_villagers,Villagers ×100 ring,Entities,29.456,20.538,48.361,0.471,0,332
entity_chickens,Chickens ×300 ring,Entities,29.098,20.736,47.469,0.690,1,352
entity_items,Item entities ×500,Entities,29.451,20.112,47.934,1.051,2,108
entity_xp,XP orbs ×500 ring,Entities,30.661,17.210,56.916,2.961,5,28
entity_items_merge_storm,"Item merge storm (cobblestone, mergeable)",Entities,32.852,15.986,60.694,3.827,7,81
entity_zombies_obstacle_pathfinding,Zombies obstacle pathfinding (150 + pillar maze),Entities,29.609,20.569,48.191,0.957,2,503
villager_ai_village,"Villager AI village (80, brain on)",Entities,29.577,20.686,47.768,0.464,4,132
tnt_field,TNT field (14×14 staggered fuses),Physics,31.910,16.405,59.427,3.091,5,220
tnt_field_destructive,TNT field destructive (breaks terrain),Physics,30.914,17.431,56.465,2.662,2,156
falling_sand,Falling sand wall 40×40 (heavy),Physics,39.333,13.161,73.698,14.609,25,486
falling_gravel_mixed,Falling gravel mixed heavy (sand+gravel+concrete),Physics,37.094,12.679,75.671,15.463,25,135
falling_sand_lite,"Falling sand wall (lite, staggered)",Physics,29.665,18.799,50.599,1.828,4,519
falling_gravel_mixed_lite,"Falling gravel mixed (lite, staggered)",Physics,29.765,17.947,50.295,1.827,2,328
projectile_storm,Projectile storm (arrows + snowballs),Physics,29.608,20.343,48.392,0.634,0,496
redstone_clocks,Redstone clocks (6×6),Redstone,0.000,0.000,0.000,0.000,0,0
